despicable 令人鄙视的;不荣耀的，不得体的
despise 极其不喜欢的
despotic 专制的，暴虐的
desultory 无计划的，无目的的；令人失望的
detach 使分离
detain 拘留，扣留,
deter 吓住，威慑,
deterioration 恶化，堕落
detour 偏离正常标准;改变方向或者路线，绕道
detract 贬低，降低价值；使分心
detritus 废品，碎屑，遗骸,,
devoted 投入的，忠诚的;示爱的，恩爱的
devout 对于宗教虔诚的;忠诚的
dexterous 动作灵活的;头脑灵活的,
diabolic 恶魔一般的
diaphanous 模糊的；非实在的；质地精致得几乎透明的,
diatribe 长篇抨击性演讲；挖苦，讽刺的指责,
didactic 喜欢说教的
diehard 顽固的，保守的顽固的人，保守的人
diffident 不自信的；内向的
diffuse 啰嗦的；不集中的，扩散的；扩展，散开,
digress 脱离主题
dilapidate 使荒废
dilate 使膨胀，扩大,;详细表达
dilatory 拖延的，磨蹭的
dilettante 业余爱好者对艺术或知识领域涉猎浅薄者／缺乏专业技术的/
diligent 勤勉的，辛勤的,,
dilute 稀释／经稀释的/;削弱,,
diminish 使变小，使减少;轻视，贬低,
din 喧闹声，嘈杂声；重复，使人厌烦地反复灌输
dingy 昏暗的；肮脏的,
diocesan 主教管辖区的
diplomatic 使用策略的，机智的
dire 不吉利的，不详的；可怕的，恐怖的；迫切的;悲惨的
dirge 挽歌,
disabuse 打消错误念头，纠正,,
disaffected 不满的，叛逆的
disarm 解除武装;使息怒，平息，抚慰；使无害
disarray 混乱，无秩序；使混乱,
disavow 拒绝承认，否认
discern 识别，辨别差异,
discharge 解雇；释放；不承担责任,
disciple 信徒，追随者
discombobulate 使不安，使混乱,
discomfit 使尴尬；阻碍
discommode 打扰，使不便
discompose 使不安;使混乱,
disconcert 使不安
discord 意见不一致，不和谐,
discredit 羞耻，使丧失名誉;怀疑，不相信,
discrepancy 在事实和宣称之间的差异或矛盾,
discrete 离散的，不连续的
discretion 谨慎;自制，节制
discretionary 自主决定的
discriminate 区分;歧视
discursive 谈话内容杂乱的
disdain 轻视，鄙视
disengage 分开，使脱离,
disgorge 呕吐出;被迫放弃
disgruntle 使发怒，使不满意；使疏远，使不友好
disguise 伪装防止被认出；隐藏，掩饰
disinclination 不喜欢，厌恶，不情愿,
disinfect 消毒，使无菌
disjointed 机能失调的;不连贯的
disinter 从墓地里掘出
disinterested 公正的，无偏见的;没有兴趣的,
disjunctive 分离的
dismantle 分解，分拆,
dismay 使失去勇气；使不安，使焦虑,
disparage 贬低；轻蔑地说,
disparate 迥然不同的,
dispassionate 客观公正的，不易被情绪或偏见影响的
dispatch 迅速；发送，派遣；使死亡；获胜，胜过
dispose 使倾向于；处理掉与of连用，有序地布置
disregard 漠视，不关注；缺乏兴趣，缺乏关心
dissect 仔细分析;切成片尤其是为了解剖研究
dissemble 用假象隐藏真相，掩饰
disseminate 散播，传播,
dissension 意见不合,
dissent 持异议，不同意；反对正统；不和谐
dissipate 驱散;浪费;放纵,
dissolute 放荡的，无节制的,
dissolve 溶解融化；解散;驱散；使消失；废除，撤销
dissonance 音调不和谐，不一致，分歧
dissuade 劝阻，反对,
distain 贬损，伤害某人的名誉,;弄脏
distal 远离中心的，神经末梢的
distend 使膨胀
distill 对用蒸馏法提高纯度;使渗出；使滴下
distort 扭曲，歪曲
distract 转移注意力，使分心;使焦虑，使不安;疯狂的,
distraught 精神狂乱的，极疯狂的,
diurnal 白天发生或行动的；每天的；期刊
diverge 改变方向；使分叉，散开;分歧;离题
diversity 多样性;分歧，不同点
divert 使转向;使消遣；使分心
divestiture 剥夺
divulge 泄露秘密,
dodder 蹒跚，颤巍巍地行进
dodge 躲避
